year,food_code,mod_code,food_description,method,method_description,nhanes,price_100gm
2011/2012,11100000,0,"Milk, NFS",4,FNDDS recipe with modified SR codes,NA,0.091897
2011/2012,11111000,0,"Milk, cow's, fluid, whole (Includes 3.5% or 3.8% fat milk, leche fresca)",1,Links to FNDDS,NA,0.094505
2011/2012,11112110,0,"Milk, cow's, fluid, 2% fat (Includes Hi-Protein milk, fortified milk, 1.5% fat milk, reduced fat milk)",1,Links to FNDDS,NA,0.088018
2011/2012,11112210,0,"Milk, cow's, fluid, 1% fat (Includes Lucerne Protein Fortified Extra Light Milk, lowfat milk)",1,Links to FNDDS,NA,0.089206
2011/2012,11113000,0,"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat (Includes fat free milk)",1,Links to FNDDS,NA,0.088424
2011/2012,11114300,0,"Milk, cow's, fluid, lactose reduced, 1% fat (Includes Lactaid, Lactaid, NS as to percent fat, lowfat milk)",1,Links to FNDDS,NA,0.190547
2011/2012,11114320,0,"Milk, cow's, fluid, lactose reduced, nonfat (Includes Lactaid, fat free or skim milk)",2,Links to altEC,NA,0.191187
2011/2012,11114330,0,"Milk, cow's, fluid, lactose reduced, 2% fat (Includes Lactaid, reduced fat milk)",1,Links to FNDDS,NA,0.191187
2011/2012,11114350,0,"Milk, cow's, fluid, lactose reduced, whole (Includes Lactaid whole milk, lactose free)",1,Links to FNDDS,NA,0.190805
2011/2012,11115000,0,"Buttermilk, fluid, nonfat (Includes Kefir milk, buttermilk, NS as to fat, fat free or skim buttermilk)",1,Links to FNDDS,NA,0.302781
2011/2012,11115100,0,"Buttermilk, fluid, 1% fat (Includes lowfat buttermilk)",1,Links to FNDDS,NA,0.164598
2011/2012,11115200,0,"Buttermilk, fluid, 2% fat (Includes buttermilk, fluid, 2% fat, made with nonfat milk solids, reduced fat milk)",1,Links to FNDDS,NA,0.202687
2011/2012,11115300,0,"Buttermilk, fluid, whole",1,Links to FNDDS,NA,0.183312
2011/2012,11116000,0,"Milk, goat's, fluid, whole",1,Links to FNDDS,NA,0.415648
2011/2012,11121300,0,"Milk, dry, reconstituted, nonfat (Includes fat free or skim milk)",4,FNDDS recipe with modified SR codes,NA,0.011687
2011/2012,11210050,0,"Milk, evaporated, NS as to fat content (formerly NS as to dilution, used in coffee or tea, assume undiluted)",1,Links to FNDDS,NA,0.294224
2011/2012,11211050,0,"Milk, evaporated, whole (formerly NS as to dilution, used in coffee or tea)",1,Links to FNDDS,NA,0.262291
2011/2012,11212050,0,"Milk, evaporated, skim (formerly NS as to dilution, used in coffee or tea) (Includes fat free or nonfat milk)",1,Links to FNDDS,NA,0.328876
2011/2012,11220000,0,"Milk, condensed, sweetened (formerly NS as to dilution)",1,Links to FNDDS,NA,0.358871
2011/2012,11320000,0,"Milk, soy, ready-to-drink, not baby's (Includes Edensoy soy beverage, vanilla flavored soy milk, Silk Soymilk)",1,Links to FNDDS,NA,0.161115
2011/2012,11320100,0,"Milk, soy, light, ready-to-drink, not baby's (Includes vanilla flavored soymilk, Silk Soymilk, Vitasoy Soymilk, WestSoy Soymilk)",1,Links to FNDDS,NA,0.129499
2011/2012,11320200,0,"Milk, soy, nonfat, ready-to-drink, not baby's (Includes vanilla flavored soymilk, WestSoy Soymilk)",2,Links to altEC,NA,0.129499
2011/2012,11321000,0,"Milk, soy, ready-to-drink, not baby's, chocolate (Includes Silk Soymilk, Belsoy)",1,Links to FNDDS,NA,0.169961
2011/2012,11350000,0,"Milk, almond, ready-to-drink (Includes Blue Diamond Almond Breeze, Silk PureAlmond, vanilla flavored)",1,Links to FNDDS,NA,0.160109
2011/2012,11350010,0,"Milk, almond, ready-to-drink, chocolate (Includes Blue Diamond Almond Breeze, Silk PureAlmond)",1,Links to FNDDS,NA,0.177798
2011/2012,11410000,0,"Yogurt, NS as to type of milk or flavor",1,Links to FNDDS,NA,0.669788
